date,precipitation,soil_moisture
2015-08-28,7.01,0.53
2015-08-29,0.74,0.52
2015-08-30,1.31,0.52
2015-08-31,2.15,0.51
2015-09-01,2.21,0.5
2015-09-02,5.69,0.5
2015-09-03,0.6,0.5
2015-09-04,1.65,0.49
2015-09-05,3.27,0.48
2015-09-06,1.8,0.48
2015-09-07,1.46,0.48
2015-09-08,0.99,0.48
2015-09-09,3.96,0.47
2015-09-10,1.01,0.47
2015-09-11,0.64,0.46
2015-09-12,2.61,0.46
2015-09-13,3.78,0.46
2015-09-14,3.37,0.46
2015-09-15,6.75,0.47
2015-09-16,4.74,0.48
2015-09-17,3.04,0.48
2015-09-18,0.68,0.47
2015-09-19,1.69,0.46
2015-09-20,1.33,0.46
2015-09-21,1.98,0.45
2015-09-22,1.44,0.45
2015-09-23,11.97,0.47
2015-09-24,4.01,0.48
2015-09-25,12.05,0.48
2015-09-26,13.3,0.5
2015-09-27,9.85,0.52
2015-09-28,9.29,0.52
2015-09-29,53.76,0.59
2015-09-30,6.7,0.6
2015-10-01,9.51,0.6
2015-10-02,3.15,0.59
2015-10-03,5.06,0.58
2015-10-04,4.26,0.57
2015-10-05,10.28,0.56
2015-10-06,8.79,0.56
2015-10-07,19.83,0.58
2015-10-08,3.66,0.59
2015-10-09,2.15,0.57
2015-10-10,7.29,0.56
2015-10-11,5.93,0.56
2015-10-12,9.93,0.57
2015-10-13,7.44,0.58
2015-10-14,8.85,0.58
2015-10-15,8.86,0.59
2015-10-16,4.67,0.59
2015-10-17,2.5,0.58
2015-10-18,4.65,0.57
2015-10-19,4.69,0.56
2015-10-20,7.86,0.56
2015-10-21,8.76,0.58
2015-10-22,8.74,0.58
2015-10-23,9.96,0.59
2015-10-24,2.78,0.59
2015-10-25,3.59,0.57
2015-10-26,6.73,0.57
2015-10-27,6.52,0.57
2015-10-28,6.1,0.57
2015-10-29,3.39,0.57
2015-10-30,5.22,0.57
2015-10-31,18.36,0.58
2015-11-01,22.0,0.61
2015-11-02,3.87,0.62
2015-11-03,0.6,0.6
2015-11-04,3.03,0.59
2015-11-05,2.62,0.59
2015-11-06,2.87,0.58
2015-11-07,5.93,0.58
2015-11-08,2.74,0.58
2015-11-09,3.89,0.57
2015-11-10,6.63,0.57
2015-11-11,7.24,0.59
2015-11-12,1.37,0.58
2015-11-13,0.76,0.57
2015-11-14,0.16,0.56
2015-11-15,0.06,0.55
2015-11-16,0.03,0.54
2015-11-17,0.3,0.53
2015-11-18,0.59,0.53
2015-11-19,0.78,0.52
2015-11-20,0.13,0.52
2015-11-21,0.83,0.52
2015-11-22,1.52,0.51
2015-11-23,0.2,0.51
2015-11-24,0.2,0.51
2015-11-25,2.68,0.5
2015-11-26,3.61,0.51
2015-11-27,0.41,0.51
2015-11-28,0.24,0.5
2015-11-29,0.13,0.49
2015-11-30,0.02,0.49
2015-12-01,0.05,0.48
2015-12-02,2.3,0.48
2015-12-03,3.26,0.48
2015-12-04,3.4,0.49
2015-12-05,0.52,0.49
2015-12-06,0.8,0.49
2015-12-07,0.0,0.48
2015-12-08,0.0,0.48
2015-12-09,0.0,0.48
2015-12-10,0.0,0.48
2015-12-11,0.0,0.48
2015-12-12,0.03,0.47
2015-12-13,0.04,0.47
2015-12-14,0.01,0.47
2015-12-15,0.01,0.46
2015-12-16,0.0,0.46
2015-12-17,0.0,0.46
2015-12-18,0.0,0.45
2015-12-19,0.0,0.45
2015-12-20,0.0,0.45
2015-12-21,0.0,0.45
2015-12-22,0.0,0.45
2015-12-23,0.0,0.45
2015-12-24,0.0,0.45
2015-12-25,0.0,0.45
2015-12-26,0.0,0.44
2015-12-27,0.0,0.44
2015-12-28,0.0,0.44
2015-12-29,0.0,0.44
2015-12-30,0.0,0.44
2015-12-31,0.0,0.43
2016-01-01,0.0,0.43
2016-01-02,0.0,0.43
2016-01-03,0.0,0.43
2016-01-04,0.0,0.43
2016-01-05,0.0,0.43
2016-01-06,0.0,0.43
2016-01-07,0.0,0.43
2016-01-08,0.0,0.42
2016-01-09,0.0,0.42
2016-01-10,0.0,0.42
2016-01-11,0.0,0.42
2016-01-12,0.0,0.41
2016-01-13,0.0,0.41
2016-01-14,0.0,0.41
2016-01-15,0.0,0.41
2016-01-16,0.09,0.41
2016-01-17,0.09,0.41
2016-01-18,0.14,0.41
2016-01-19,0.06,0.41
2016-01-20,0.25,0.41
2016-01-21,0.27,0.41
2016-01-22,0.01,0.41
2016-01-23,0.0,0.41
2016-01-24,0.0,0.41
2016-01-25,0.03,0.41
2016-01-26,0.0,0.41
2016-01-27,0.0,0.41
2016-01-28,0.0,0.41
2016-01-29,0.0,0.41
2016-01-30,0.0,0.41
2016-01-31,0.0,0.4
2016-02-01,0.0,0.4
2016-02-02,0.0,0.4
2016-02-03,0.0,0.4
2016-02-04,0.0,0.4
2016-02-05,0.0,0.4
2016-02-06,0.0,0.4
2016-02-07,0.0,0.4
2016-02-08,0.0,0.4
2016-02-09,0.0,0.4
2016-02-10,0.0,0.39
2016-02-11,0.0,0.39
2016-02-12,0.0,0.39
2016-02-13,0.0,0.39
2016-02-14,0.0,0.39
2016-02-15,0.0,0.39
2016-02-16,0.0,0.39
2016-02-17,0.01,0.39
2016-02-18,0.0,0.39
2016-02-19,0.0,0.39
2016-02-20,0.04,0.39
2016-02-21,0.0,0.39
2016-02-22,0.12,0.38
2016-02-23,0.97,0.39
2016-02-24,0.01,0.39
2016-02-25,0.04,0.39
2016-02-26,0.04,0.39
2016-02-27,1.15,0.39
2016-02-28,0.99,0.39
2016-02-29,5.44,0.39
2016-03-01,6.41,0.41
2016-03-02,0.0,0.41
2016-03-03,0.0,0.4
2016-03-04,0.0,0.4
2016-03-05,0.0,0.39
2016-03-06,0.0,0.39
2016-03-07,1.08,0.39
2016-03-08,3.56,0.4
2016-03-09,2.22,0.4
2016-03-10,4.87,0.41
2016-03-11,7.13,0.41
2016-03-12,7.35,0.42
2016-03-13,5.59,0.43
2016-03-14,8.32,0.44
2016-03-15,0.99,0.44
2016-03-16,2.56,0.43
2016-03-17,7.8,0.44
2016-03-18,9.68,0.45
2016-03-19,4.51,0.46
2016-03-20,1.94,0.45
2016-03-21,5.55,0.45
2016-03-22,8.48,0.46
2016-03-23,4.95,0.46
2016-03-24,5.1,0.46
2016-03-25,1.21,0.46
2016-03-26,1.49,0.45
2016-03-27,0.53,0.44
2016-03-28,0.68,0.43
2016-03-29,0.6,0.42
2016-03-30,1.49,0.42
2016-03-31,0.96,0.42
2016-04-01,1.99,0.42
2016-04-02,0.62,0.42
2016-04-03,0.83,0.41
2016-04-04,2.95,0.41
2016-04-05,8.8,0.42
2016-04-06,5.66,0.44
2016-04-07,2.16,0.44
2016-04-08,2.15,0.44
2016-04-09,3.2,0.44
2016-04-10,8.9,0.45
2016-04-11,7.56,0.45
2016-04-12,5.98,0.46
2016-04-13,7.7,0.46
2016-04-14,4.64,0.46
2016-04-15,11.15,0.47
2016-04-16,3.45,0.48
2016-04-17,2.15,0.47
2016-04-18,4.77,0.47
2016-04-19,1.33,0.46
2016-04-20,1.02,0.45
2016-04-21,1.11,0.45
2016-04-22,0.03,0.44
2016-04-23,0.08,0.43
2016-04-24,0.29,0.43
2016-04-25,0.61,0.42
2016-04-26,1.16,0.42
2016-04-27,2.16,0.41
2016-04-28,3.0,0.42
2016-04-29,0.83,0.42
2016-04-30,0.92,0.41
2016-05-01,0.27,0.41
2016-05-02,2.02,0.41
2016-05-03,0.65,0.41
2016-05-04,0.26,0.41
2016-05-05,0.32,0.41
2016-05-06,5.82,0.41
2016-05-07,3.23,0.41
2016-05-08,2.57,0.41
2016-05-09,2.53,0.41
2016-05-10,0.93,0.41
2016-05-11,2.18,0.41
2016-05-12,6.6,0.42
2016-05-13,5.12,0.43
2016-05-14,0.73,0.43
2016-05-15,0.68,0.42
2016-05-16,4.23,0.42
2016-05-17,21.95,0.45
2016-05-18,6.25,0.46
2016-05-19,0.15,0.45
2016-05-20,2.22,0.45
2016-05-21,6.78,0.45
2016-05-22,4.08,0.45
2016-05-23,2.77,0.45
2016-05-24,6.48,0.45
2016-05-25,14.59,0.46
2016-05-26,8.02,0.47
2016-05-27,13.87,0.49
2016-05-28,5.2,0.5
2016-05-29,11.24,0.49
2016-05-30,7.62,0.5
2016-05-31,3.91,0.5
2016-06-01,4.31,0.48
2016-06-02,6.36,0.48
2016-06-03,4.34,0.48
2016-06-04,0.53,0.48
2016-06-05,1.93,0.47
2016-06-06,12.47,0.47
2016-06-07,3.47,0.48
2016-06-08,8.61,0.48
2016-06-09,11.83,0.49
2016-06-10,8.51,0.51
2016-06-11,3.62,0.51
2016-06-12,2.76,0.5
2016-06-13,42.65,0.53
2016-06-14,5.79,0.58
2016-06-15,0.61,0.55
2016-06-16,5.02,0.54
2016-06-17,11.86,0.55
2016-06-18,0.5,0.53
2016-06-19,1.18,0.52
2016-06-20,9.02,0.52
2016-06-21,9.48,0.52
2016-06-22,8.86,0.52
2016-06-23,7.17,0.53
2016-06-24,10.54,0.53
2016-06-25,6.67,0.53
2016-06-26,2.29,0.53
2016-06-27,5.28,0.52
2016-06-28,8.46,0.52
2016-06-29,1.83,0.52
2016-06-30,6.19,0.52
2016-07-01,5.97,0.52
2016-07-02,2.94,0.52
2016-07-03,10.85,0.52
2016-07-04,14.21,0.53
2016-07-05,2.23,0.54
2016-07-06,3.48,0.53
2016-07-07,3.1,0.52
2016-07-08,2.23,0.52
2016-07-09,1.89,0.51
2016-07-10,4.28,0.51
2016-07-11,7.45,0.52
2016-07-12,2.1,0.52
2016-07-13,1.5,0.51
2016-07-14,4.87,0.51
2016-07-15,5.47,0.51
2016-07-16,2.31,0.51
2016-07-17,7.13,0.5
